investment_name,date,amount,type,notes
Acme Venture Fund III,2022-04-15,-1000000,CAPITAL_CALL,Initial capital call for fund deployment
Acme Venture Fund III,2022-08-20,-750000,CAPITAL_CALL,Second capital call
Acme Venture Fund III,2023-12-15,250000,DISTRIBUTION,Distribution from portfolio company exit
Global Private Equity Partners,2021-07-01,-2500000,CAPITAL_CALL,Initial funding
Global Private Equity Partners,2021-10-15,-2000000,CAPITAL_CALL,Follow-on capital call
Global Private Equity Partners,2022-06-30,-1500000,CAPITAL_CALL,Additional capital call
Global Private Equity Partners,2023-03-15,1800000,DISTRIBUTION,Partial distribution from portfolio company sale
Prime Real Estate Fund IV,2023-02-10,-600000,CAPITAL_CALL,Initial capital call
Prime Real Estate Fund IV,2023-06-30,-600000,CAPITAL_CALL,Second quarterly call
Credit Opportunities Fund II,2022-06-15,-1750000,CAPITAL_CALL,Initial funding for direct lending
Credit Opportunities Fund II,2022-12-20,-1750000,CAPITAL_CALL,Additional capital call
Credit Opportunities Fund II,2023-03-31,175000,DISTRIBUTION,Quarterly interest distribution
Credit Opportunities Fund II,2023-06-30,180000,DISTRIBUTION,Q2 interest distribution
Credit Opportunities Fund II,2023-09-30,185000,DISTRIBUTION,Q3 interest distribution
Emerging Markets Infrastructure,2021-09-01,-2000000,CAPITAL_CALL,Initial capital commitment
Emerging Markets Infrastructure,2022-01-15,-1600000,CAPITAL_CALL,Deployment for renewable energy projects
Emerging Markets Infrastructure,2022-07-30,-1600000,CAPITAL_CALL,Transportation infrastructure investment
Emerging Markets Infrastructure,2023-04-15,-1200000,CAPITAL_CALL,Final deployment phase
